Date,Description,Amount,Type
2025-04-01,OPENING BALANCE,,
2025-04-01,RENT PAYMENT,-1500.00,Debit
2025-04-02,WHOLE FOODS MARKET,-87.43,Debit
2025-04-03,STARBUCKS,-6.75,Debit
2025-04-03,NETFLIX,-15.99,Debit
2025-04-04,UBER EATS,-34.50,Debit
2025-04-05,SHELL GAS STATION,-62.10,Debit
2025-04-06,AMAZON PRIME,-14.99,Debit
2025-04-07,CHIPOTLE,-13.85,Debit
2025-04-08,PLANET FITNESS,-24.99,Debit
2025-04-08,SPOTIFY,-9.99,Debit
2025-04-09,WHOLE FOODS MARKET,-102.67,Debit
2025-04-10,LYFT,-18.50,Debit
2025-04-10,HULU,-7.99,Debit
2025-04-11,MCDONALD'S,-9.45,Debit
2025-04-12,CVS PHARMACY,-28.30,Debit
2025-04-12,ELECTRIC BILL,-95.00,Debit
2025-04-13,INTERNET BILL,-65.00,Debit
2025-04-14,STARBUCKS,-7.20,Debit
2025-04-14,DOORDASH,-27.80,Debit
2025-04-15,COSTCO,-145.32,Debit
2025-04-15,SALARY DEPOSIT,4200.00,Credit
2025-04-16,APPLE ICLOUD,-2.99,Debit
2025-04-16,SUSHI RESTAURANT,-65.00,Debit
2025-04-17,AMAZON.COM,-89.99,Debit
2025-04-18,PARKING METER,-12.00,Debit
2025-04-18,CHATGPT PLUS,-20.00,Debit
2025-04-19,WHOLE FOODS MARKET,-78.90,Debit
2025-04-20,STARBUCKS,-6.50,Debit
2025-04-20,CONCERT TICKETS,-110.00,Debit
2025-04-21,HAIR SALON,-55.00,Debit
2025-04-22,UBER EATS,-41.20,Debit
2025-04-22,TARGET,-67.45,Debit
2025-04-23,DOCTOR COPAY,-30.00,Debit
2025-04-24,TRADER JOES,-54.20,Debit
2025-04-25,LYFT,-22.00,Debit
2025-04-25,DISNEY PLUS,-13.99,Debit
2025-04-26,AMAZON.COM,-34.99,Debit
2025-04-27,STARBUCKS,-5.95,Debit
2025-04-27,ITALIAN RESTAURANT,-78.50,Debit
2025-04-28,WATER BILL,-45.00,Debit
2025-04-28,AUDIBLE,-14.95,Debit
2025-04-29,UBER EATS,-29.40,Debit
2025-04-30,CLOSING BALANCE,,
